id,game_id,hastily,normally,completely,count,game_name,popularity_value,genres,platforms,keywords,log_popularity_value,cover_url
3796,211371,1970-01-01 01:00:00,1970-01-01 01:00:00,1970-01-01 01:00:00,1,Snow Journey: Nitro,9.43739e-07,Adventure,PlayStation 4 | PlayStation 5,Not Available,9.4373855467863e-07,//images.igdb.com/igdb/image/upload/t_thumb/co516b.jpg
3797,216143,1970-01-01 01:00:00,1970-01-01 01:00:00,1970-01-01 01:00:00,1,Sprint Journey: Nitro,9.43739e-07,Adventure,PlayStation 4 | PlayStation 5,Not Available,9.4373855467863e-07,//images.igdb.com/igdb/image/upload/t_thumb/co5e08.jpg
3798,88386,,1970-01-01 20:00:00,1970-01-02 18:30:00,2,Amatsutsumi,4.620431548e-06,Simulator | Adventure | Visual Novel,PC (Microsoft Windows) | PlayStation Vita,anime | 2d | supernatural | multiple endings | high school | harem | choices matter | moral decisions | superpowers | drm free | male protagonist | unlockable choices | multiple route mystery | dating simulation | nsfw_patch | nsfw_dlc | nsfw version exists | multiple routes | cafe | dating sim | cloud saves,4.620420873839035e-06,//images.igdb.com/igdb/image/upload/t_thumb/co9dyl.jpg
3799,204538,,,,2,Once Human,0.000129372083353,Shooter | Role-playing (RPG) | Strategy | Adventure,Android | PC (Microsoft Windows) | iOS,construction | pvp | pve,0.0001293637155067,//images.igdb.com/igdb/image/upload/t_thumb/coaar1.jpg
3800,32003,,1970-01-01 05:00:00,,1,Endless Fables: The Minotaur's Curse,4.620431548e-06,Point-and-click | Puzzle | Adventure,Linux | PC (Microsoft Windows) | Mac,hidden object | steam | steam trading cards | steam achievements | digital distribution | single-player only | steam cloud,4.620420873839035e-06,//images.igdb.com/igdb/image/upload/t_thumb/co21nv.jpg
3801,120528,,,1970-01-02 06:00:00,1,The Witch's Love Diary,4.620431548e-06,Simulator | Visual Novel,PC (Microsoft Windows),anime | eroge | nsfw_patch,4.620420873839035e-06,//images.igdb.com/igdb/image/upload/t_thumb/co44ks.jpg
3802,325261,,,1970-01-01 11:00:00,1,Jak and Daxter: The Precursor Legacy,7.125518381e-06,Platform | Adventure,PlayStation 4 | PlayStation 5,Not Available,7.125492994614496e-06,//images.igdb.com/igdb/image/upload/t_thumb/co953g.jpg
3803,222873,1970-01-01 03:00:00,,1970-01-01 05:00:00,1,Frog Detective: The Entire Mystery,4.620431548e-06,Puzzle | Role-playing (RPG) | Adventure,Xbox Series X|S | PlayStation 4 | PC (Microsoft Windows) | PlayStation 5 | Mac | Xbox One | Nintendo Switch,Not Available,4.620420873839035e-06,//images.igdb.com/igdb/image/upload/t_thumb/co5p53.jpg
3804,311526,1970-01-01 01:00:00,1970-01-01 01:00:00,1970-01-01 01:00:00,1,Floor 9: Beginning,1.01163837e-06,Puzzle | Simulator | Adventure | Indie,PC (Microsoft Windows),psychological horror | free-to-play | steam families,1.0116378582942494e-06,//images.igdb.com/igdb/image/upload/t_thumb/co8ql5.jpg
3805,281353,1970-01-01 01:00:00,1970-01-01 03:00:00,,1,Grunn,1.0912860806e-05,Puzzle | Simulator | Adventure | Indie,PC (Microsoft Windows) | Mac,steam achievements | steam cloud | steam families,1.0912801261167718e-05,//images.igdb.com/igdb/image/upload/t_thumb/co7kku.jpg
3806,220765,1970-01-01 01:00:00,1970-01-01 01:00:00,1970-01-01 01:00:00,1,Speed Journey,9.43739e-07,Adventure,PlayStation 4 | PlayStation 5,Not Available,9.4373855467863e-07,//images.igdb.com/igdb/image/upload/t_thumb/co5lr3.jpg
3807,78153,,,1970-01-03 12:00:00,1,Burnout Paradise Remastered,3.6868598356e-05,Racing | Adventure,PlayStation 4 | PC (Microsoft Windows) | Xbox One | Nintendo Switch,cars | burnout | xbox one x enhanced | 4k ultra hd,3.6867918725932256e-05,//images.igdb.com/igdb/image/upload/t_thumb/coajkt.jpg
3808,25083,,1970-01-01 16:00:00,1970-01-02 06:00:00,1,LEGO Harry Potter Collection,4.620431548e-06,Puzzle | Adventure,PlayStation 4 | Xbox One | Nintendo Switch,ghosts | wizards | magic | harry potter | compilation | multiple protagonists | achievements | conspiracy | snow | sequel | high score | good vs evil | owl | digital distribution | licensed game | platform exclusive | students | playstation trophies | alternate costumes | human | goblins | werewolves | motion blur | non-player character | based on - brand | potion | useable vehicles | lego bricks | gravity control | dynamic split-screen | teenager | gnome | basilisks | hidden character | playable boss | on-the-fly character switching | fictional currencies | impossible to lose | lgbtq+,4.620420873839035e-06,//images.igdb.com/igdb/image/upload/t_thumb/co2zvl.jpg
3809,237550,,1970-01-01 08:00:00,1970-01-01 19:30:00,2,LEGO Harry Potter Collection: Years 5-7,9.500691175e-06,Puzzle | Adventure,PlayStation 4 | Xbox One | Nintendo Switch,Not Available,9.50064604371945e-06,//images.igdb.com/igdb/image/upload/t_thumb/co65lb.jpg
3810,228268,,1970-01-01 08:00:00,1970-01-01 16:00:00,2,LEGO Harry Potter Collection: Years 1-4,4.620431548e-06,Puzzle | Adventure,PlayStation 4 | Xbox One | Nintendo Switch,Not Available,4.620420873839035e-06,//images.igdb.com/igdb/image/upload/t_thumb/co5usv.jpg
3811,41878,,1970-01-01 20:00:00,1970-01-01 20:00:00,1,Uncharted: Drake's Fortune Remastered,2.772258929e-05,Shooter | Platform | Puzzle | Adventure,PlayStation 4,treasure hunt | wall climbing | jungle | indiana jones | cliffhanger | jungle warfare,2.772220502612337e-05,//images.igdb.com/igdb/image/upload/t_thumb/co1un2.jpg
3812,41877,,1970-01-01 15:30:00,1970-01-01 20:00:00,2,Uncharted 2: Among Thieves Remastered,4.6204315483e-05,Shooter | Platform | Puzzle | Adventure,PlayStation 4,jungle | cliffhanger,4.620324809649382e-05,//images.igdb.com/igdb/image/upload/t_thumb/co1un4.jpg
